,Retailer country,Product,correlation,slope
464,Australia,Star Gazer 2,,
468,Australia,Star Gazer 3,0.9144099735631183,
472,Australia,Star Gazer 6,,
476,Australia,Star Lite,-0.3197972695238071,
480,Australia,Star Peg,,
484,Australia,Sun Blocker,,
488,Australia,Sun Shelter 15,-0.8911042721508483,
492,Australia,Sun Shelter 30,,
496,Australia,Sun Shelter Stick,,
500,Australia,Sun Shield,,
504,Australia,TX,-0.9054876638628928,
508,Australia,Trail Master,,
512,Australia,Trail Scout,,
516,Australia,Trail Star,,
520,Australia,TrailChef Canteen,0.24282306339022827,
524,Australia,TrailChef Cook Set,,
528,Australia,TrailChef Cup,,
532,Australia,TrailChef Deluxe Cook Set,,
536,Australia,TrailChef Double Flame,,
540,Australia,TrailChef Kettle,,
544,Australia,TrailChef Kitchen Kit,,
548,Australia,TrailChef Single Flame,,
552,Australia,TrailChef Utensils,,
556,Australia,TrailChef Water Bag,,
560,Australia,Trendi,0.3313925815296691,
564,Australia,Venue,-0.8596072393055456,
568,Australia,Zodiak,0.06928403999450558,
572,Australia,Zone,-0.9682610300922525,
576,Austria,Aloe Relief,,0.0
580,Austria,Astro Pilot,-0.3121647451673545,
584,Austria,Auto Pilot,,
588,Austria,Bear Edge,,0.0
592,Austria,Bear Survival Edge,,0.0
596,Austria,Bella,0.8936186901221977,0.004355737671693959
600,Austria,Blue Steel Max Putter,,0.0
604,Austria,Blue Steel Putter,0.2951602482749532,-0.021484123232930863
608,Austria,BugShield Extreme,,0.0
612,Austria,BugShield Lotion,,0.0
616,Austria,BugShield Lotion Lite,,0.0
620,Austria,BugShield Natural,,0.0
624,Austria,BugShield Spray,,0.0
628,Austria,Calamine Relief,,0.0
632,Austria,Canyon Mule Carryall,,0.0
636,Austria,Canyon Mule Climber Backpack,,0.0
640,Austria,Canyon Mule Cooler,-0.7109546442804953,-0.005729099528781574
644,Austria,Canyon Mule Extreme Backpack,,0.0
648,Austria,Canyon Mule Journey Backpack,0.4125556222404469,8.141540105244707e-17
652,Austria,Canyon Mule Weekender Backpack,,0.0
656,Austria,Capri,0.7934761346971291,0.0019118584124665095
660,Austria,Cat Eye,-0.10885828525089769,0.007669378063277901
664,Austria,Compact Relief Kit,,0.0
668,Austria,Course Pro Gloves,,0.0
672,Austria,Course Pro Golf Bag,-0.6419759271879386,-8.141540105244707e-17
676,Austria,Course Pro Golf and Tee Set,,0.0
680,Austria,Course Pro Putter,-0.49836478150526753,-0.02451338460877411
684,Austria,Course Pro Umbrella,,0.0
688,Austria,Dante,-0.15985590058305255,0.010135900399604696
692,Austria,Deluxe Family Relief Kit,,0.0
696,Austria,Double Edge,,0.0
700,Austria,Edge Extreme,,0.0
704,Austria,EverGlow Butane,,0.0
708,Austria,EverGlow Double,,0.0
712,Austria,EverGlow Kerosene,,0.0
716,Austria,EverGlow Lamp,,0.0
720,Austria,EverGlow Single,0.8535201625015958,0.00257809478795171
724,Austria,Fairway,-0.39331818338813,0.0026740177816926658
728,Austria,Firefly 2,,0.0
732,Austria,Firefly 4,,0.0
736,Austria,Firefly Charger,,
740,Austria,Firefly Climbing Lamp,,
744,Austria,Firefly Extreme,0.9931822907167711,0.011458199057563128
748,Austria,Firefly Lite,-0.23710099535971846,0.0
752,Austria,Firefly Mapreader,,0.0
756,Austria,Firefly Multi-light,-0.5573857248764874,-2.544231282888971e-18
760,Austria,Firefly Rechargeable Battery,,
764,Austria,Flicker Lantern,,0.0
768,Austria,Glacier Basic,,0.0
772,Austria,Glacier Deluxe,,0.0
776,Austria,Glacier GPS,-0.6113907243853213,-0.03809135049198643
780,Austria,Glacier GPS Extreme,-0.5866497549867922,4.0707700526223535e-17
784,Austria,Granite Axe,,
788,Austria,Granite Belay,,
792,Austria,Granite Carabiner,,
796,Austria,Granite Chalk Bag,,
800,Austria,Granite Climbing Helmet,,
804,Austria,Granite Extreme,,
808,Austria,Granite Grip,,
812,Austria,Granite Hammer,,
816,Austria,Granite Ice,,
820,Austria,Granite Pulley,,
824,Austria,Granite Shovel,,
828,Austria,Granite Signal Mirror,,
832,Austria,Hailstorm Steel Irons,-0.44051347050146655,-0.36361878571735484
836,Austria,Hailstorm Steel Woods Set,-0.5239384914915289,-1.0
840,Austria,Hailstorm Titanium Irons,-0.6095377968351134,-3.256616042097883e-16
844,Austria,Hailstorm Titanium Woods Set,,0.0
848,Austria,Hawk Eye,0.4665626864001274,0.005615006323493612
852,Austria,Hibernator,,0.0
856,Austria,Hibernator Camp Cot,,0.0
860,Austria,Hibernator Extreme,,0.0
864,Austria,Hibernator Lite,0.4493416039429834,1.0176925131555884e-17
868,Austria,Hibernator Pad,0.8925938716353778,0.008593649293172346
872,Austria,Hibernator Pillow,,0.0
876,Austria,Hibernator Self - Inflating Mat,,0.0
880,Austria,Husky Harness,,
884,Austria,Husky Harness Extreme,,
888,Austria,Husky Rope 100,,
892,Austria,Husky Rope 200,,
896,Austria,Husky Rope 50,,
900,Austria,Husky Rope 60,,
904,Austria,Inferno,0.5789545870152366,0.008888257487216928
908,Austria,Infinity,-0.09704397405035259,0.01639672961514774
912,Austria,Insect Bite Relief,,0.0
916,Austria,Kodiak,-0.43425287342890745,0.03458154843237516
920,Austria,Lady Hailstorm Steel Irons,,0.0
924,Austria,Lady Hailstorm Steel Woods Set,,0.0
928,Austria,Lady Hailstorm Titanium Irons,,0.0
932,Austria,Lady Hailstorm Titanium Woods Set,,0.0
936,Austria,Legend,0.2618549206739732,0.04421133745828491
940,Austria,Lux,0.811837535029393,0.01543045872183791
944,Austria,Max Gizmo,0.8616620863619493,0.006433226643177356
948,Austria,Maximus,0.7202838132978421,0.01517449193629241
952,Austria,Mountain Man Analog,,0.0
956,Austria,Mountain Man Combination,,0.0
960,Austria,Mountain Man Deluxe,,0.0
964,Austria,Mountain Man Digital,,0.0
968,Austria,Mountain Man Extreme,,0.0
972,Austria,Opera Vision,,
976,Austria,Pocket Gizmo,0.05111474227585235,0.0020051848350735504
980,Austria,Polar Extreme,,0.0
984,Austria,Polar Ice,-0.6397699623970659,-0.006347581854509512
988,Austria,Polar Sports,,0.0
992,Austria,Polar Sun,,0.0
996,Austria,Polar Wave,,0.0
1000,Austria,Ranger Vision,0.5948460349741458,0.023839046104928464
1004,Austria,Retro,,
1008,Austria,Sam,0.9980670271821046,0.006406174930892732
1012,Austria,Seeker 35,,0.0
1016,Austria,Seeker 50,,0.0
1020,Austria,Seeker Extreme,,0.0
1024,Austria,Seeker Mini,,0.0
1028,Austria,Single Edge,,0.0
1032,Austria,Sky Pilot,,
1036,Austria,Star Dome,,0.0
1040,Austria,Star Gazer 2,,0.0
1044,Austria,Star Gazer 3,0.8510823923741347,0.19226858018590928
1048,Austria,Star Gazer 6,,0.0
1052,Austria,Star Lite,0.622384882578307,1.6283080210489414e-16
1056,Austria,Star Peg,,0.0
1060,Austria,Sun Blocker,,0.0
1064,Austria,Sun Shelter 15,0.5314016506967022,-0.00012890473939758436
1068,Austria,Sun Shelter 30,,0.0
1072,Austria,Sun Shelter Stick,,0.0
1076,Austria,Sun Shield,,0.0
1080,Austria,TX,-0.016124351250082398,0.006571374769045611
1084,Austria,Trail Master,,
1088,Austria,Trail Scout,,
1092,Austria,Trail Star,,
1096,Austria,TrailChef Canteen,-0.0658115651529117,0.005070253082971687
1100,Austria,TrailChef Cook Set,,0.0
1104,Austria,TrailChef Cup,,0.0
1108,Austria,TrailChef Deluxe Cook Set,,0.0
1112,Austria,TrailChef Double Flame,,0.0
1116,Austria,TrailChef Kettle,,0.0
1120,Austria,TrailChef Kitchen Kit,,0.0
1124,Austria,TrailChef Single Flame,,0.0
1128,Austria,TrailChef Utensils,,0.0
1132,Austria,TrailChef Water Bag,,0.0
1136,Austria,Trendi,0.5774193724220344,0.0036070839456308307
1140,Austria,Venue,0.4525617063892156,0.006602437875076982
1144,Austria,Zodiak,0.38628720731433575,
1148,Austria,Zone,-0.05907994552996086,0.01000332758274967
1152,Belgium,Aloe Relief,,0.0
1156,Belgium,Astro Pilot,-0.4168235151436607,
1160,Belgium,Auto Pilot,,
1164,Belgium,Bear Edge,,0.0
1168,Belgium,Bear Survival Edge,,0.0
1172,Belgium,Bella,0.4663688184209229,0.0037624653890774695
1176,Belgium,Blue Steel Max Putter,,0.0
1180,Belgium,Blue Steel Putter,-0.8849428653810285,-0.021484123232930863
1184,Belgium,BugShield Extreme,,0.0
1188,Belgium,BugShield Lotion,,0.0
1192,Belgium,BugShield Lotion Lite,,0.0
1196,Belgium,BugShield Natural,,0.0
1200,Belgium,BugShield Spray,,0.0
1204,Belgium,Calamine Relief,,0.0
1208,Belgium,Canyon Mule Carryall,,0.0
1212,Belgium,Canyon Mule Climber Backpack,,0.0
1216,Belgium,Canyon Mule Cooler,-0.7492412419311436,-0.005729099528781574
1220,Belgium,Canyon Mule Extreme Backpack,,0.0
1224,Belgium,Canyon Mule Journey Backpack,,0.0
1228,Belgium,Canyon Mule Weekender Backpack,,0.0
1232,Belgium,Capri,0.4195424726014033,0.0013937824947363737
1236,Belgium,Cat Eye,-0.15965605652940978,0.002762762249530925
1240,Belgium,Compact Relief Kit,,0.0
1244,Belgium,Course Pro Gloves,,0.0
1248,Belgium,Course Pro Golf Bag,,0.0
1252,Belgium,Course Pro Golf and Tee Set,,0.0
1256,Belgium,Course Pro Putter,0.14959597023021437,-0.02451338460877411
1260,Belgium,Course Pro Umbrella,,0.0
1264,Belgium,Dante,0.07177674780347475,0.007656932095847834
1268,Belgium,Deluxe Family Relief Kit,,0.0
1272,Belgium,Double Edge,,0.0
1276,Belgium,Edge Extreme,,0.0
1280,Belgium,EverGlow Butane,,0.0
1284,Belgium,EverGlow Double,,0.0
1288,Belgium,EverGlow Kerosene,,0.0
1292,Belgium,EverGlow Lamp,,0.0
1296,Belgium,EverGlow Single,0.2030569383523205,0.00257809478795171
1300,Belgium,Fairway,-0.18769606466599317,0.0026412833827468203
1304,Belgium,Firefly 2,,0.0
1308,Belgium,Firefly 4,,0.0
1312,Belgium,Firefly Charger,,
1316,Belgium,Firefly Climbing Lamp,,
1320,Belgium,Firefly Extreme,0.5498126607962107,0.011458199057563128
1324,Belgium,Firefly Lite,-0.5421821551833483,-2.544231282888971e-18
1328,Belgium,Firefly Mapreader,,0.0
1332,Belgium,Firefly Multi-light,-0.795843898834505,-7.632693848666912e-18
1336,Belgium,Firefly Rechargeable Battery,,
1340,Belgium,Flicker Lantern,,0.0
1344,Belgium,Glacier Basic,,0.0
1348,Belgium,Glacier Deluxe,,0.0
1352,Belgium,Glacier GPS,-0.9748456863436081,-0.03809135049198643
1356,Belgium,Glacier GPS Extreme,-0.4767827771120331,-8.141540105244707e-17
1360,Belgium,Granite Axe,,
1364,Belgium,Granite Belay,,
1368,Belgium,Granite Carabiner,,
1372,Belgium,Granite Chalk Bag,,
1376,Belgium,Granite Climbing Helmet,,
1380,Belgium,Granite Extreme,,
1384,Belgium,Granite Grip,,
1388,Belgium,Granite Hammer,,
1392,Belgium,Granite Ice,,
1396,Belgium,Granite Pulley,,
1400,Belgium,Granite Shovel,,
1404,Belgium,Granite Signal Mirror,,
1408,Belgium,Hailstorm Steel Irons,-0.9627894360804979,-0.36361878571735484
1412,Belgium,Hailstorm Steel Woods Set,-0.9363817474499333,-1.0
1416,Belgium,Hailstorm Titanium Irons,-0.8060351417013337,-2.442462031573412e-16
1420,Belgium,Hailstorm Titanium Woods Set,,0.0
1424,Belgium,Hawk Eye,0.731705831845518,0.0058170702960512214
1428,Belgium,Hibernator,,0.0
1432,Belgium,Hibernator Camp Cot,,0.0
1436,Belgium,Hibernator Extreme,,0.0
1440,Belgium,Hibernator Lite,0.7235591713395011,3.053077539466765e-17
1444,Belgium,Hibernator Pad,0.4062081097066033,0.008593649293172346
1448,Belgium,Hibernator Pillow,,0.0
1452,Belgium,Hibernator Self - Inflating Mat,,0.0
1456,Belgium,Husky Harness,,
1460,Belgium,Husky Harness Extreme,,
1464,Belgium,Husky Rope 100,,
1468,Belgium,Husky Rope 200,,
1472,Belgium,Husky Rope 50,,
1476,Belgium,Husky Rope 60,,
1480,Belgium,Inferno,0.6756096973574669,0.009943891648405168
1484,Belgium,Infinity,-0.2491430715042329,0.008558555156905798
1488,Belgium,Insect Bite Relief,,0.0
1492,Belgium,Kodiak,-0.7584684359215933,0.023159764068520015
1496,Belgium,Lady Hailstorm Steel Irons,,0.0
1500,Belgium,Lady Hailstorm Steel Woods Set,,0.0
1504,Belgium,Lady Hailstorm Titanium Irons,,0.0
1508,Belgium,Lady Hailstorm Titanium Woods Set,,0.0
1512,Belgium,Legend,-0.29225380391179445,0.036298614703733904
1516,Belgium,Lux,0.6186566930460723,0.019069047035907113
1520,Belgium,Max Gizmo,-0.15340168855314515,0.006553780926395382
1524,Belgium,Maximus,0.7882324163977209,0.016308836734986187
1528,Belgium,Mountain Man Analog,,0.0
1532,Belgium,Mountain Man Combination,,0.0
1536,Belgium,Mountain Man Deluxe,,0.0
1540,Belgium,Mountain Man Digital,,0.0
1544,Belgium,Mountain Man Extreme,,0.0
1548,Belgium,Opera Vision,,
1552,Belgium,Pocket Gizmo,-0.3016198354297729,0.0020051848350735504
1556,Belgium,Polar Extreme,,0.0
1560,Belgium,Polar Ice,-0.8961564239396397,-0.004603740600696086
1564,Belgium,Polar Sports,,0.0
1568,Belgium,Polar Sun,,0.0
1572,Belgium,Polar Wave,,0.0
1576,Belgium,Ranger Vision,0.2673562915449129,0.024927986794425618
1580,Belgium,Retro,,
1584,Belgium,Sam,0.8201350328233904,0.006752153017087038
1588,Belgium,Seeker 35,,0.0
1592,Belgium,Seeker 50,,0.0
1596,Belgium,Seeker Extreme,,0.0
1600,Belgium,Seeker Mini,,0.0
1604,Belgium,Single Edge,,0.0
1608,Belgium,Sky Pilot,,
1612,Belgium,Star Dome,,0.0
1616,Belgium,Star Gazer 2,,0.0
1620,Belgium,Star Gazer 3,0.7169760594285886,0.19226858018590928
1624,Belgium,Star Gazer 6,,0.0
1628,Belgium,Star Lite,0.8025646876141173,1.221231015786706e-16
1632,Belgium,Star Peg,,0.0
1636,Belgium,Sun Blocker,,0.0
1640,Belgium,Sun Shelter 15,0.46741123742364604,-0.00012890473939758436
1644,Belgium,Sun Shelter 30,,0.0
1648,Belgium,Sun Shelter Stick,,0.0
1652,Belgium,Sun Shield,,0.0
1656,Belgium,TX,-0.2655137614387159,0.021468182980277577
1660,Belgium,Trail Master,,
1664,Belgium,Trail Scout,,
1668,Belgium,Trail Star,,
1672,Belgium,TrailChef Canteen,-0.1754631506353674,0.005070253082971687
1676,Belgium,TrailChef Cook Set,,0.0
1680,Belgium,TrailChef Cup,,0.0
1684,Belgium,TrailChef Deluxe Cook Set,,0.0
1688,Belgium,TrailChef Double Flame,,0.0
1692,Belgium,TrailChef Kettle,,0.0
1696,Belgium,TrailChef Kitchen Kit,,0.0
1700,Belgium,TrailChef Single Flame,,0.0
1704,Belgium,TrailChef Utensils,,0.0
1708,Belgium,TrailChef Water Bag,,0.0
1712,Belgium,Trendi,0.14818533698706002,0.002824496576863045
1716,Belgium,Venue,-0.2443562434597955,0.006613081682636531
1720,Belgium,Zodiak,0.16200914685971174,
1724,Belgium,Zone,0.2522199074254646,0.008937100019335719
1728,Brazil,Aloe Relief,,0.0
1732,Brazil,Astro Pilot,-0.28330169784136794,
1736,Brazil,Auto Pilot,,
1740,Brazil,Bear Edge,,0.0
1744,Brazil,Bear Survival Edge,,0.0
1748,Brazil,Bella,0.6347880565242973,0.0030349844992050784
1752,Brazil,Blue Steel Max Putter,,0.0
1756,Brazil,Blue Steel Putter,-0.8096660167020302,-0.021484123232930863
1760,Brazil,BugShield Extreme,,0.0
1764,Brazil,BugShield Lotion,,0.0
1768,Brazil,BugShield Lotion Lite,,0.0
1772,Brazil,BugShield Natural,,0.0
1776,Brazil,BugShield Spray,0.021291859595652395,-1.908173462166728e-18
1780,Brazil,Calamine Relief,,0.0
1784,Brazil,Canyon Mule Carryall,,0.0
1788,Brazil,Canyon Mule Climber Backpack,,0.0
1792,Brazil,Canyon Mule Cooler,-0.8255249897600196,-0.005729099528781574
1796,Brazil,Canyon Mule Extreme Backpack,,0.0
1800,Brazil,Canyon Mule Journey Backpack,0.7754007135197573,1.221231015786706e-16
1804,Brazil,Canyon Mule Weekender Backpack,,0.0
1808,Brazil,Capri,0.331688346312616,0.0018046663515661845
1812,Brazil,Cat Eye,-0.628599481610274,-0.0015879763638837509
1816,Brazil,Compact Relief Kit,,0.0
1820,Brazil,Course Pro Gloves,,0.0
1824,Brazil,Course Pro Golf Bag,,0.0
1828,Brazil,Course Pro Golf and Tee Set,,0.0
1832,Brazil,Course Pro Putter,0.24544254610634064,-0.02451338460877411
1836,Brazil,Course Pro Umbrella,,0.0
1840,Brazil,Dante,-0.3352634201984909,0.009392612551740925
1844,Brazil,Deluxe Family Relief Kit,,0.0
1848,Brazil,Double Edge,,0.0
1852,Brazil,Edge Extreme,,0.0
1856,Brazil,EverGlow Butane,,0.0
1860,Brazil,EverGlow Double,,0.0
1864,Brazil,EverGlow Kerosene,,0.0
1868,Brazil,EverGlow Lamp,,0.0
1872,Brazil,EverGlow Single,0.005834644753918383,0.00257809478795171
1876,Brazil,Fairway,-0.32927858380600017,0.002578094787951707
1880,Brazil,Firefly 2,,0.0
1884,Brazil,Firefly 4,,0.0
1888,Brazil,Firefly Charger,,
1892,Brazil,Firefly Climbing Lamp,,
1896,Brazil,Firefly Extreme,0.3867581035914836,0.011458199057563128
1900,Brazil,Firefly Lite,-0.774885031734233,-3.816346924333456e-18
1904,Brazil,Firefly Mapreader,,0.0
1908,Brazil,Firefly Multi-light,-0.750877483905499,-7.632693848666912e-18
1912,Brazil,Firefly Rechargeable Battery,,
1916,Brazil,Flicker Lantern,,0.0
1920,Brazil,Glacier Basic,,0.0
1924,Brazil,Glacier Deluxe,,0.0
1928,Brazil,Glacier GPS,-0.4707627185416103,-0.03809135049198643
1932,Brazil,Glacier GPS Extreme,-0.8384486845321165,-1.221231015786706e-16
1936,Brazil,Granite Axe,,
1940,Brazil,Granite Belay,,
1944,Brazil,Granite Carabiner,,
1948,Brazil,Granite Chalk Bag,,
1952,Brazil,Granite Climbing Helmet,,
1956,Brazil,Granite Extreme,,
1960,Brazil,Granite Grip,,
1964,Brazil,Granite Hammer,,
1968,Brazil,Granite Ice,,
1972,Brazil,Granite Pulley,,
1976,Brazil,Granite Shovel,,
1980,Brazil,Granite Signal Mirror,,
1984,Brazil,Hailstorm Steel Irons,-0.9007834962642677,-0.36361878571735484
1988,Brazil,Hailstorm Steel Woods Set,-0.9387623909003544,-1.0
1992,Brazil,Hailstorm Titanium Irons,-0.7755869522319908,-2.442462031573412e-16
1996,Brazil,Hailstorm Titanium Woods Set,,0.0
2000,Brazil,Hawk Eye,0.703001815806868,0.005674877690886435
2004,Brazil,Hibernator,,0.0
2008,Brazil,Hibernator Camp Cot,,0.0
2012,Brazil,Hibernator Extreme,,0.0
2016,Brazil,Hibernator Lite,0.778331231946643,3.053077539466765e-17
2020,Brazil,Hibernator Pad,0.02711596229892124,0.008593649293172346
2024,Brazil,Hibernator Pillow,,0.0
2028,Brazil,Hibernator Self - Inflating Mat,,0.0
2032,Brazil,Husky Harness,,
2036,Brazil,Husky Harness Extreme,,
2040,Brazil,Husky Rope 100,,
2044,Brazil,Husky Rope 200,,
2048,Brazil,Husky Rope 50,,
2052,Brazil,Husky Rope 60,,
2056,Brazil,Inferno,0.6415675760922992,0.008844089015883932
2060,Brazil,Infinity,0.057188821262387474,0.013442117331958466
2064,Brazil,Insect Bite Relief,,0.0
2068,Brazil,Kodiak,-0.448731201265351,0.0308775879774846
2072,Brazil,Lady Hailstorm Steel Irons,,0.0
2076,Brazil,Lady Hailstorm Steel Woods Set,,0.0
2080,Brazil,Lady Hailstorm Titanium Irons,,0.0
2084,Brazil,Lady Hailstorm Titanium Woods Set,,0.0
2088,Brazil,Legend,0.5533656720589396,0.04918901874847823
2092,Brazil,Lux,0.7525943657179723,0.01567304637706076
2096,Brazil,Max Gizmo,-0.022305719398060083,0.0065978053896503745
2100,Brazil,Maximus,0.6251677260947439,0.019667270392013627
2104,Brazil,Mountain Man Analog,,0.0
2108,Brazil,Mountain Man Combination,,0.0
2112,Brazil,Mountain Man Deluxe,,0.0
2116,Brazil,Mountain Man Digital,,0.0
2120,Brazil,Mountain Man Extreme,,0.0
2124,Brazil,Opera Vision,,
2128,Brazil,Pocket Gizmo,-0.38264714860426713,0.0020051848350735504
2132,Brazil,Polar Extreme,,0.0
2136,Brazil,Polar Ice,-0.47528886416510974,-0.003759721565762901
2140,Brazil,Polar Sports,,0.0
2144,Brazil,Polar Sun,,0.0
2148,Brazil,Polar Wave,,0.0
2152,Brazil,Ranger Vision,0.27194437531052407,0.02447516456838392
2156,Brazil,Retro,,
2160,Brazil,Sam,0.9542516947257285,0.00653117346281098
2164,Brazil,Seeker 35,,0.0
2168,Brazil,Seeker 50,,0.0
2172,Brazil,Seeker Extreme,,0.0
2176,Brazil,Seeker Mini,,0.0
2180,Brazil,Single Edge,,0.0
2184,Brazil,Sky Pilot,,
2188,Brazil,Star Dome,,0.0
2192,Brazil,Star Gazer 2,,0.0
2196,Brazil,Star Gazer 3,0.3621273911867446,0.19226858018590928
2200,Brazil,Star Gazer 6,,0.0
2204,Brazil,Star Lite,,0.0
2208,Brazil,Star Peg,,0.0
2212,Brazil,Sun Blocker,,0.0
2216,Brazil,Sun Shelter 15,0.5627301055609729,-0.00012890473939758436
2220,Brazil,Sun Shelter 30,,0.0
2224,Brazil,Sun Shelter Stick,,0.0
2228,Brazil,Sun Shield,,0.0
2232,Brazil,TX,-0.053847297795247336,0.023183182407367605
2236,Brazil,Trail Master,,
2240,Brazil,Trail Scout,,
2244,Brazil,Trail Star,,
2248,Brazil,TrailChef Canteen,-0.07735184689855283,0.005070253082971687
2252,Brazil,TrailChef Cook Set,,0.0
2256,Brazil,TrailChef Cup,,0.0
2260,Brazil,TrailChef Deluxe Cook Set,,0.0
2264,Brazil,TrailChef Double Flame,,0.0
2268,Brazil,TrailChef Kettle,,0.0
2272,Brazil,TrailChef Kitchen Kit,,0.0
2276,Brazil,TrailChef Single Flame,,0.0
2280,Brazil,TrailChef Utensils,,0.0
2284,Brazil,TrailChef Water Bag,,0.0
2288,Brazil,Trendi,0.03522804221154837,0.003695424125238114
2292,Brazil,Venue,0.381196166025989,0.006591719625030434
2296,Brazil,Zodiak,-0.42982116736852943,
2300,Brazil,Zone,-0.07824112662670972,0.010107943310560157
2304,Canada,Aloe Relief,,0.0
2308,Canada,Astro Pilot,-0.4726900933666253,
2312,Canada,Auto Pilot,,
2316,Canada,Bear Edge,,0.0
2320,Canada,Bear Survival Edge,,0.0
2324,Canada,Bella,0.6745583144767577,0.002725931003738231
2328,Canada,Blue Steel Max Putter,,0.0
2332,Canada,Blue Steel Putter,-0.5851429697291463,-0.021484123232930863
2336,Canada,BugShield Extreme,,0.0
2340,Canada,BugShield Lotion,,0.0
2344,Canada,BugShield Lotion Lite,,0.0
2348,Canada,BugShield Natural,,0.0
2352,Canada,BugShield Spray,0.34319393049613506,-6.360578207222427e-19
2356,Canada,Calamine Relief,,0.0
