,Year,Product,Order method type,Retailer country,Revenue,Quantity,Gross profit
148,2004,TrailChef Canteen,Telephone,Canada,8489.36,968.0,2081.2
149,2004,TrailChef Canteen,Telephone,Mexico,11962.28,1364.0,2932.6
150,2004,TrailChef Canteen,Telephone,Brazil,7919.31,903.0,1941.45
151,2004,TrailChef Canteen,Telephone,Japan,107959.17,9935.0,42189.47
153,2004,TrailChef Canteen,Telephone,China,46017.41,4407.0,16843.07
156,2004,TrailChef Canteen,Telephone,Netherlands,24432.93,2031.0,10987.71
158,2004,TrailChef Canteen,Telephone,Finland,27416.37,2279.0,12329.39
159,2004,TrailChef Canteen,Telephone,Denmark,21677.06,2116.0,7669.14
160,2004,TrailChef Canteen,Telephone,France,47071.94,4226.0,19095.82
162,2004,TrailChef Canteen,Telephone,United Kingdom,108403.69,9891.0,42925.27
165,2004,TrailChef Canteen,Telephone,Austria,11237.69,1059.0,4227.11
168,2004,TrailChef Canteen,Sales visit,United States,58425.59,5271.0,23531.57
170,2004,TrailChef Canteen,Sales visit,Mexico,54227.67,4697.0,23133.53
173,2004,TrailChef Canteen,Sales visit,Korea,79294.15,7045.0,32656.25
175,2004,TrailChef Canteen,Sales visit,Singapore,77432.45,6929.0,31562.47
179,2004,TrailChef Canteen,Sales visit,Finland,8721.75,725.0,3922.25
181,2004,TrailChef Canteen,Sales visit,France,42056.65,4145.0,14616.75
182,2004,TrailChef Canteen,Sales visit,Germany,36158.61,3529.0,12796.63
184,2004,TrailChef Canteen,Sales visit,Belgium,4860.0,400.0,2212.0
187,2004,TrailChef Canteen,Sales visit,Italy,56161.63,4917.0,23611.09
189,2004,TrailChef Canteen,Web,United States,156644.47,14073.0,63481.21
190,2004,TrailChef Canteen,Web,Canada,56887.08,4724.0,25614.2
191,2004,TrailChef Canteen,Web,Mexico,6748.83,561.0,3035.01
192,2004,TrailChef Canteen,Web,Brazil,47810.43,4199.0,20013.05
193,2004,TrailChef Canteen,Web,Japan,40240.35,3345.0,18096.45
194,2004,TrailChef Canteen,Web,Korea,50640.8,4747.0,19215.66
195,2004,TrailChef Canteen,Web,China,140445.34,12476.0,57854.22
196,2004,TrailChef Canteen,Web,Singapore,22123.17,1839.0,9948.99
198,2004,TrailChef Canteen,Web,Netherlands,56802.39,5303.0,21696.53
199,2004,TrailChef Canteen,Web,Sweden,13076.61,1087.0,5880.67
200,2004,TrailChef Canteen,Web,Finland,69089.27,6181.0,28171.05
201,2004,TrailChef Canteen,Web,Denmark,6351.84,528.0,2856.48
202,2004,TrailChef Canteen,Web,France,60353.04,5012.0,27173.6
203,2004,TrailChef Canteen,Web,Germany,50627.21,4212.0,22743.77
204,2004,TrailChef Canteen,Web,United Kingdom,52519.3,4588.0,22146.74
205,2004,TrailChef Canteen,Web,Belgium,25113.83,2267.0,10106.29
207,2004,TrailChef Canteen,Web,Austria,38383.55,3365.0,16107.25
208,2004,TrailChef Canteen,Web,Italy,7073.64,588.0,3181.08
209,2004,TrailChef Canteen,Web,Spain,53777.57,4741.0,22392.15
211,2004,TrailChef Canteen,Special,Canada,13557.81,1127.0,6097.07
212,2004,TrailChef Canteen,Special,Mexico,12342.03,1021.0,5583.01
217,2004,TrailChef Canteen,Special,Singapore,12909.44,1472.0,3164.8
231,2004,TrailChef Canteen,Mail,United States,30439.81,2907.0,11195.47
236,2004,TrailChef Canteen,Mail,Korea,10514.22,874.0,4728.34
238,2004,TrailChef Canteen,Mail,Singapore,9575.88,796.0,4306.36
244,2004,TrailChef Canteen,Mail,France,6688.68,556.0,3007.96
245,2004,TrailChef Canteen,Mail,Germany,7508.9,631.0,3331.68
251,2004,TrailChef Canteen,Mail,Spain,10959.3,902.0,4988.06
253,2004,TrailChef Canteen,E-mail,Canada,85220.47,7427.0,36053.73
256,2004,TrailChef Canteen,E-mail,Japan,52162.7,4695.0,21081.8
261,2004,TrailChef Canteen,E-mail,Netherlands,8745.81,727.0,3933.07
262,2004,TrailChef Canteen,E-mail,Sweden,34551.87,3039.0,14433.69
266,2004,TrailChef Canteen,E-mail,Germany,72362.89,6633.0,28452.43
271,2004,TrailChef Canteen,E-mail,Italy,22305.82,2152.0,8059.58
272,2004,TrailChef Canteen,E-mail,Spain,8121.02,926.0,1990.9
273,2004,TrailChef Canteen,Fax,United States,6796.95,565.0,3056.65
274,2004,TrailChef Canteen,Fax,Canada,6207.48,516.0,2791.56
276,2004,TrailChef Canteen,Fax,Brazil,18595.47,1541.0,8394.05
280,2004,TrailChef Canteen,Fax,Singapore,9660.09,803.0,4344.23
282,2004,TrailChef Canteen,Fax,Netherlands,8673.63,721.0,3900.61
284,2004,TrailChef Canteen,Fax,Finland,11050.2,1260.0,2709.0
286,2004,TrailChef Canteen,Fax,France,28553.55,2637.0,11096.61
287,2004,TrailChef Canteen,Fax,Germany,7374.39,613.0,3316.33
288,2004,TrailChef Canteen,Fax,United Kingdom,6496.2,540.0,2921.4
293,2004,TrailChef Canteen,Fax,Spain,6063.12,504.0,2726.64
294,2004,TrailChef Kitchen Kit,Telephone,United States,422398.66,18875.0,121719.91
296,2004,TrailChef Kitchen Kit,Telephone,Mexico,60063.81,2733.0,16527.12
297,2004,TrailChef Kitchen Kit,Telephone,Brazil,49874.88,2262.0,13841.22
298,2004,TrailChef Kitchen Kit,Telephone,Japan,153637.98,6857.0,44405.97
301,2004,TrailChef Kitchen Kit,Telephone,Singapore,143364.09,6509.0,39675.72
303,2004,TrailChef Kitchen Kit,Telephone,Netherlands,43780.6,1916.0,13258.72
304,2004,TrailChef Kitchen Kit,Telephone,Sweden,13093.05,573.0,3965.16
305,2004,TrailChef Kitchen Kit,Telephone,Finland,46294.1,2026.0,14019.92
306,2004,TrailChef Kitchen Kit,Telephone,Denmark,60143.67,2710.0,16973.37
307,2004,TrailChef Kitchen Kit,Telephone,France,151294.93,6765.0,43528.48
309,2004,TrailChef Kitchen Kit,Telephone,United Kingdom,234305.84,10472.0,67486.88
312,2004,TrailChef Kitchen Kit,Telephone,Austria,53484.6,2380.0,15571.2
313,2004,TrailChef Kitchen Kit,Telephone,Italy,10298.14,446.0,3193.36
315,2004,TrailChef Kitchen Kit,Sales visit,United States,96725.24,4323.0,27859.85
317,2004,TrailChef Kitchen Kit,Sales visit,Mexico,48115.42,2102.0,14630.56
320,2004,TrailChef Kitchen Kit,Sales visit,Korea,35646.0,1560.0,10795.2
321,2004,TrailChef Kitchen Kit,Sales visit,China,33650.82,1571.0,8624.79
322,2004,TrailChef Kitchen Kit,Sales visit,Singapore,89412.05,3913.0,27077.96
326,2004,TrailChef Kitchen Kit,Sales visit,Finland,52098.0,2280.0,15777.6
327,2004,TrailChef Kitchen Kit,Sales visit,Denmark,18033.29,781.0,5591.96
328,2004,TrailChef Kitchen Kit,Sales visit,France,132727.54,5906.0,38644.96
329,2004,TrailChef Kitchen Kit,Sales visit,Germany,24974.32,1088.0,7642.48
331,2004,TrailChef Kitchen Kit,Sales visit,Belgium,12791.86,554.0,3966.64
334,2004,TrailChef Kitchen Kit,Sales visit,Italy,62961.29,2866.0,17305.91
336,2004,TrailChef Kitchen Kit,Web,United States,220003.68,9624.0,66693.36
337,2004,TrailChef Kitchen Kit,Web,Canada,46995.0,2052.0,14306.64
338,2004,TrailChef Kitchen Kit,Web,Mexico,50091.26,2182.0,15332.0
339,2004,TrailChef Kitchen Kit,Web,Brazil,83601.75,3627.0,25823.64
340,2004,TrailChef Kitchen Kit,Web,Japan,16406.3,718.0,4968.56
341,2004,TrailChef Kitchen Kit,Web,Korea,149974.1,6634.0,44294.48
342,2004,TrailChef Kitchen Kit,Web,China,297392.3,13245.0,86399.45
345,2004,TrailChef Kitchen Kit,Web,Netherlands,96053.54,4323.0,27188.15
347,2004,TrailChef Kitchen Kit,Web,Finland,57719.1,2526.0,17479.92
348,2004,TrailChef Kitchen Kit,Web,Denmark,21298.62,942.0,6292.56
349,2004,TrailChef Kitchen Kit,Web,France,44263.84,1928.0,13550.8
350,2004,TrailChef Kitchen Kit,Web,Germany,47064.08,2056.0,14312.0
351,2004,TrailChef Kitchen Kit,Web,United Kingdom,62661.77,2749.0,18870.2
352,2004,TrailChef Kitchen Kit,Web,Belgium,36229.1,1612.0,10549.94
354,2004,TrailChef Kitchen Kit,Web,Austria,32626.17,1413.0,10117.08
355,2004,TrailChef Kitchen Kit,Web,Italy,12270.45,537.0,3716.04
356,2004,TrailChef Kitchen Kit,Web,Spain,87278.11,3791.0,26887.48
358,2004,TrailChef Kitchen Kit,Special,Canada,23284.86,1014.0,7131.84
373,2004,TrailChef Kitchen Kit,Special,Belgium,4271.65,185.0,1324.6
378,2004,TrailChef Kitchen Kit,Mail,United States,32881.15,1439.0,9957.88
382,2004,TrailChef Kitchen Kit,Mail,Japan,10529.04,456.0,3264.96
387,2004,TrailChef Kitchen Kit,Mail,Netherlands,40491.39,1767.0,12343.08
399,2004,TrailChef Kitchen Kit,E-mail,United States,51686.46,2413.0,13247.37
400,2004,TrailChef Kitchen Kit,E-mail,Canada,207479.23,9224.0,60540.91
403,2004,TrailChef Kitchen Kit,E-mail,Japan,177089.03,7878.0,51592.49
404,2004,TrailChef Kitchen Kit,E-mail,Korea,63553.14,2967.0,16288.83
409,2004,TrailChef Kitchen Kit,E-mail,Sweden,21510.77,937.0,6584.36
413,2004,TrailChef Kitchen Kit,E-mail,Germany,226989.58,10202.0,64471.72
418,2004,TrailChef Kitchen Kit,E-mail,Italy,67804.6,2948.0,20842.96
419,2004,TrailChef Kitchen Kit,E-mail,Spain,21219.71,919.0,6580.04
421,2004,TrailChef Kitchen Kit,Fax,Canada,22608.05,985.0,6917.0
431,2004,TrailChef Kitchen Kit,Fax,Finland,50701.14,2367.0,12994.83
434,2004,TrailChef Kitchen Kit,Fax,Germany,11521.91,499.0,3572.84
440,2004,TrailChef Kitchen Kit,Fax,Spain,35621.46,1663.0,9129.87
441,2004,TrailChef Cup,Telephone,United States,98451.87,28489.0,74236.22
443,2004,TrailChef Cup,Telephone,Mexico,2747.7,774.0,2089.8
444,2004,TrailChef Cup,Telephone,Brazil,3436.4,968.0,2613.6
445,2004,TrailChef Cup,Telephone,Japan,39228.41,11143.0,29756.86
448,2004,TrailChef Cup,Telephone,Singapore,9795.4,2881.0,7346.55
450,2004,TrailChef Cup,Telephone,Netherlands,23868.0,6800.0,18088.0
452,2004,TrailChef Cup,Telephone,Finland,7757.1,2210.0,5878.6
453,2004,TrailChef Cup,Telephone,Denmark,9032.8,2589.0,6832.15
454,2004,TrailChef Cup,Telephone,France,34082.46,9736.0,25806.86
456,2004,TrailChef Cup,Telephone,United Kingdom,46983.89,13505.0,35504.64
459,2004,TrailChef Cup,Telephone,Austria,13985.56,3925.0,10649.31
462,2004,TrailChef Cup,Sales visit,United States,11644.36,3311.0,8830.01
464,2004,TrailChef Cup,Sales visit,Mexico,30954.06,8790.0,23482.56
467,2004,TrailChef Cup,Sales visit,Korea,17282.31,4954.0,13071.41
469,2004,TrailChef Cup,Sales visit,Singapore,21175.77,6061.0,16023.92
473,2004,TrailChef Cup,Sales visit,Finland,4784.13,1363.0,3625.58
475,2004,TrailChef Cup,Sales visit,France,17740.71,5021.0,13472.86
476,2004,TrailChef Cup,Sales visit,Germany,10500.17,2971.0,7974.82
478,2004,TrailChef Cup,Sales visit,Belgium,2298.48,628.0,1764.68
481,2004,TrailChef Cup,Sales visit,Italy,16947.82,4798.0,12869.52
483,2004,TrailChef Cup,Web,United States,92498.56,26389.0,70067.91
484,2004,TrailChef Cup,Web,Canada,20955.89,5951.0,15897.54
485,2004,TrailChef Cup,Web,Mexico,7688.0,2180.0,5835.0
486,2004,TrailChef Cup,Web,Brazil,27955.33,7887.0,21251.38
487,2004,TrailChef Cup,Web,Japan,8634.6,2460.0,6543.6
488,2004,TrailChef Cup,Web,Korea,31369.91,9074.0,23657.01
489,2004,TrailChef Cup,Web,China,86087.28,24967.0,64865.33
490,2004,TrailChef Cup,Web,Singapore,19237.02,5494.0,14567.12
492,2004,TrailChef Cup,Web,Netherlands,16034.83,4557.0,12161.38
493,2004,TrailChef Cup,Web,Sweden,6152.15,1733.0,4679.1
494,2004,TrailChef Cup,Web,Finland,28504.71,8121.0,21601.86
495,2004,TrailChef Cup,Web,Denmark,9738.66,2773.0,7381.61
496,2004,TrailChef Cup,Web,France,19024.21,5387.0,14445.26
497,2004,TrailChef Cup,Web,Germany,19386.15,5485.0,14723.9
498,2004,TrailChef Cup,Web,United Kingdom,34185.67,9705.0,25936.42
499,2004,TrailChef Cup,Web,Belgium,12184.14,3329.0,9354.49
501,2004,TrailChef Cup,Web,Austria,9186.37,2561.0,7009.52
502,2004,TrailChef Cup,Web,Italy,6265.75,1765.0,4765.5
503,2004,TrailChef Cup,Web,Spain,35856.19,10125.0,27249.94
505,2004,TrailChef Cup,Special,Canada,10352.49,2939.0,7854.34
525,2004,TrailChef Cup,Mail,United States,4018.95,1145.0,3045.7
529,2004,TrailChef Cup,Mail,Japan,7904.52,2252.0,5990.32
530,2004,TrailChef Cup,Mail,Korea,5501.88,1581.0,4158.03
534,2004,TrailChef Cup,Mail,Netherlands,7395.84,2096.0,5614.24
538,2004,TrailChef Cup,Mail,France,6411.06,1818.0,4865.76
546,2004,TrailChef Cup,E-mail,United States,5043.87,1437.0,3822.42
547,2004,TrailChef Cup,E-mail,Canada,49796.58,14239.0,37693.43
550,2004,TrailChef Cup,E-mail,Japan,35055.82,9966.0,26584.72
551,2004,TrailChef Cup,E-mail,Korea,10741.02,3075.0,8127.27
556,2004,TrailChef Cup,E-mail,Sweden,11480.7,3234.0,8731.8
560,2004,TrailChef Cup,E-mail,Germany,43601.3,12523.0,32956.75
565,2004,TrailChef Cup,E-mail,Italy,17076.46,4822.0,12977.76
566,2004,TrailChef Cup,E-mail,Spain,2932.3,826.0,2230.2
567,2004,TrailChef Cup,Fax,United States,3148.85,887.0,2394.9
570,2004,TrailChef Cup,Fax,Brazil,5594.8,1576.0,4255.2
571,2004,TrailChef Cup,Fax,Japan,3035.25,855.0,2308.5
574,2004,TrailChef Cup,Fax,Singapore,10566.78,3024.0,7996.38
578,2004,TrailChef Cup,Fax,Finland,13078.26,3726.0,9911.16
580,2004,TrailChef Cup,Fax,France,9151.9,2578.0,6960.6
581,2004,TrailChef Cup,Fax,Germany,7785.18,2218.0,5899.88
588,2004,TrailChef Cook Set,Telephone,United States,535609.64,10564.0,166186.56
590,2004,TrailChef Cook Set,Telephone,Mexico,26259.54,498.0,8844.48
591,2004,TrailChef Cook Set,Telephone,Brazil,23623.04,448.0,7956.48
592,2004,TrailChef Cook Set,Telephone,Japan,308696.88,6041.0,97443.11
594,2004,TrailChef Cook Set,Telephone,China,112140.36,2281.0,32373.79
595,2004,TrailChef Cook Set,Telephone,Singapore,112448.96,2261.0,33381.79
597,2004,TrailChef Cook Set,Telephone,Netherlands,152135.23,2980.0,47924.63
599,2004,TrailChef Cook Set,Telephone,Finland,38926.28,803.0,10845.37
600,2004,TrailChef Cook Set,Telephone,Denmark,42816.76,839.0,13476.93
601,2004,TrailChef Cook Set,Telephone,France,289161.91,5642.0,91861.17
603,2004,TrailChef Cook Set,Telephone,United Kingdom,380298.99,7429.0,120506.86
606,2004,TrailChef Cook Set,Telephone,Austria,114213.18,2225.0,36404.93
609,2004,TrailChef Cook Set,Sales visit,United States,302116.23,5872.0,96772.39
611,2004,TrailChef Cook Set,Sales visit,Mexico,211269.68,4041.0,69955.91
612,2004,TrailChef Cook Set,Sales visit,Brazil,25415.86,482.0,8560.32
614,2004,TrailChef Cook Set,Sales visit,Korea,223747.84,4362.0,71208.7
616,2004,TrailChef Cook Set,Sales visit,Singapore,154087.54,3015.0,48652.99
620,2004,TrailChef Cook Set,Sales visit,Finland,146051.82,2868.0,45757.86
621,2004,TrailChef Cook Set,Sales visit,Denmark,15660.81,297.0,5274.72
622,2004,TrailChef Cook Set,Sales visit,France,132430.72,2580.0,42208.12
623,2004,TrailChef Cook Set,Sales visit,Germany,173509.78,3321.0,57374.41
625,2004,TrailChef Cook Set,Sales visit,Belgium,36172.78,720.0,10994.38
627,2004,TrailChef Cook Set,Sales visit,Austria,12233.36,232.0,4120.32
628,2004,TrailChef Cook Set,Sales visit,Italy,129995.86,2538.0,41242.0
630,2004,TrailChef Cook Set,Web,United States,622279.58,11990.0,202989.28
631,2004,TrailChef Cook Set,Web,Canada,195218.73,3790.0,62682.43
632,2004,TrailChef Cook Set,Web,Mexico,51132.35,1026.0,15253.13
633,2004,TrailChef Cook Set,Web,Brazil,184732.57,3615.0,58316.02
634,2004,TrailChef Cook Set,Web,Japan,195191.28,3781.0,62969.71
635,2004,TrailChef Cook Set,Web,Korea,203579.92,4019.0,63035.49
636,2004,TrailChef Cook Set,Web,China,496572.36,9709.0,157048.63
637,2004,TrailChef Cook Set,Web,Singapore,72738.92,1394.0,23990.74
639,2004,TrailChef Cook Set,Web,Netherlands,178038.16,3484.0,56202.68
640,2004,TrailChef Cook Set,Web,Sweden,22462.98,453.0,6621.57
641,2004,TrailChef Cook Set,Web,Finland,230426.88,4416.0,75999.36
642,2004,TrailChef Cook Set,Web,Denmark,121098.18,2351.0,38883.71
643,2004,TrailChef Cook Set,Web,France,137061.89,2642.0,44671.15
644,2004,TrailChef Cook Set,Web,Germany,155769.76,3010.0,50510.06
645,2004,TrailChef Cook Set,Web,United Kingdom,214068.45,4126.0,69782.23
646,2004,TrailChef Cook Set,Web,Belgium,61114.07,1159.0,20583.84
648,2004,TrailChef Cook Set,Web,Austria,55155.58,1046.0,18576.96
649,2004,TrailChef Cook Set,Web,Italy,77313.86,1523.0,24054.55
650,2004,TrailChef Cook Set,Web,Spain,215373.43,4192.0,68779.19
652,2004,TrailChef Cook Set,Special,Canada,76779.41,1462.0,25653.27
653,2004,TrailChef Cook Set,Special,Mexico,26350.9,562.0,6697.76
657,2004,TrailChef Cook Set,Special,China,57928.86,1122.0,18692.52
658,2004,TrailChef Cook Set,Special,Singapore,42370.16,812.0,13974.52
672,2004,TrailChef Cook Set,Mail,United States,178351.24,3552.0,54137.8
677,2004,TrailChef Cook Set,Mail,Korea,74878.3,1435.0,24696.35
685,2004,TrailChef Cook Set,Mail,France,26259.54,528.0,7795.38
686,2004,TrailChef Cook Set,Mail,Germany,0.0,32.0,-1119.04
694,2004,TrailChef Cook Set,E-mail,Canada,352822.47,6813.0,114571.86
697,2004,TrailChef Cook Set,E-mail,Japan,162269.08,3203.0,50260.17
703,2004,TrailChef Cook Set,E-mail,Sweden,42447.65,805.0,14296.8
707,2004,TrailChef Cook Set,E-mail,Germany,268743.9,5291.0,83717.63
712,2004,TrailChef Cook Set,E-mail,Italy,70816.39,1343.0,23851.68
713,2004,TrailChef Cook Set,E-mail,Spain,72520.58,1386.0,24052.16
714,2004,TrailChef Cook Set,Fax,United States,22199.33,421.0,7476.96
717,2004,TrailChef Cook Set,Fax,Brazil,38176.52,724.0,12858.24
718,2004,TrailChef Cook Set,Fax,Japan,53802.88,1026.0,17923.66
721,2004,TrailChef Cook Set,Fax,Singapore,87558.04,1678.0,28878.38
723,2004,TrailChef Cook Set,Fax,Netherlands,34751.88,666.0,11461.86
724,2004,TrailChef Cook Set,Fax,Sweden,28229.38,541.0,9310.61
727,2004,TrailChef Cook Set,Fax,France,78809.0,1500.0,26354.0
728,2004,TrailChef Cook Set,Fax,Germany,28281.56,542.0,9327.82
730,2004,TrailChef Cook Set,Fax,Belgium,10387.81,197.0,3498.72
733,2004,TrailChef Cook Set,Fax,Italy,30264.4,580.0,9981.8
735,2004,TrailChef Deluxe Cook Set,Telephone,United States,865350.72,7173.0,254856.69
736,2004,TrailChef Deluxe Cook Set,Telephone,Canada,67799.68,562.0,19967.86
739,2004,TrailChef Deluxe Cook Set,Telephone,Japan,419827.2,3480.0,123644.4
741,2004,TrailChef Deluxe Cook Set,Telephone,China,71418.88,592.0,21033.76
744,2004,TrailChef Deluxe Cook Set,Telephone,Netherlands,159003.52,1318.0,46828.54
747,2004,TrailChef Deluxe Cook Set,Telephone,Denmark,28109.12,233.0,8278.49
748,2004,TrailChef Deluxe Cook Set,Telephone,France,195195.52,1618.0,57487.54
750,2004,TrailChef Deluxe Cook Set,Telephone,United Kingdom,306425.6,2540.0,90246.2
753,2004,TrailChef Deluxe Cook Set,Telephone,Austria,53926.08,447.0,15881.91
756,2004,TrailChef Deluxe Cook Set,Sales visit,United States,465791.04,3861.0,137181.33
758,2004,TrailChef Deluxe Cook Set,Sales visit,Mexico,365177.28,3027.0,107549.31
761,2004,TrailChef Deluxe Cook Set,Sales visit,Korea,522853.76,4334.0,153987.02
763,2004,TrailChef Deluxe Cook Set,Sales visit,Singapore,442990.08,3672.0,130466.16
767,2004,TrailChef Deluxe Cook Set,Sales visit,Finland,131980.16,1094.0,38869.82
768,2004,TrailChef Deluxe Cook Set,Sales visit,Denmark,63818.56,529.0,18795.37
769,2004,TrailChef Deluxe Cook Set,Sales visit,France,240194.24,1991.0,70740.23
770,2004,TrailChef Deluxe Cook Set,Sales visit,Germany,268424.0,2225.0,79054.25
772,2004,TrailChef Deluxe Cook Set,Sales visit,Belgium,22318.4,185.0,6573.05
775,2004,TrailChef Deluxe Cook Set,Sales visit,Italy,219926.72,1823.0,64771.19
777,2004,TrailChef Deluxe Cook Set,Web,United States,749656.96,6214.0,220783.42
778,2004,TrailChef Deluxe Cook Set,Web,Canada,421878.08,3497.0,124248.41
780,2004,TrailChef Deluxe Cook Set,Web,Brazil,282780.16,2344.0,83282.32
781,2004,TrailChef Deluxe Cook Set,Web,Japan,292310.72,2423.0,86089.19
782,2004,TrailChef Deluxe Cook Set,Web,Korea,107731.52,893.0,31728.29
783,2004,TrailChef Deluxe Cook Set,Web,China,770648.32,6388.0,226965.64
784,2004,TrailChef Deluxe Cook Set,Web,Singapore,95305.6,790.0,28068.7
786,2004,TrailChef Deluxe Cook Set,Web,Netherlands,271440.0,2250.0,79942.5
787,2004,TrailChef Deluxe Cook Set,Web,Sweden,102061.44,846.0,30058.38
788,2004,TrailChef Deluxe Cook Set,Web,Finland,344427.2,2855.0,101438.15
789,2004,TrailChef Deluxe Cook Set,Web,Denmark,24007.36,199.0,7070.47
790,2004,TrailChef Deluxe Cook Set,Web,France,275059.2,2280.0,81008.4
791,2004,TrailChef Deluxe Cook Set,Web,Germany,211964.48,1757.0,62426.21
